tract_geoid,HTN_crude_prev,DM_crude_prev
04013810900,28.4,9
04013816401,25.5,7.5
04015955001,37.1,12.2
04017962501,37.3,10.4
04019001304,34,13.2
04019004333,31.2,11.6
04019004076,36.6,13.1
04013815902,26.6,8
04019004049,33.7,10.1
04013810800,25.4,8
04019003901,38.3,18.5
04015953901,37,11.9
04015951401,45.4,15.1
04015952006,41.7,14
04019002603,35.3,14.2
04019003705,36,16.7
04017960200,36,12.6
04019004026,35.1,10
04019004032,35,10.1
04015953604,36.5,10.5
04019003103,38.5,14.3
04019004340,29.6,11
04015954900,42.2,13.6
04019002801,37.7,14.9
04015955002,41.8,14.6
04013811800,25.6,7.9
04015952400,42.6,12.9
04019004313,42.1,15.9
04013816600,23.1,6.6
04013815502,21,6.1
04019000700,30.5,9.9
04019004326,32.1,10.9
04019004051,36,9.3
04019004062,25.5,7.2
04015950601,49,18.4
04013619900,28.2,8.1
04017940100,36.3,14.9
04019003506,36.3,14.8
04013810600,28,8.6
04017960400,38.9,14.5
04019002202,34.9,15.1
04019004034,33.7,11.8
04013617002,33.5,11.5
04017961300,42.5,14.5
04019004332,55.8,15.9
04013723304,37.4,13.9
04013817102,26.5,8.7
04013723309,32.6,10.3
04013618100,30.5,9.4
04019004330,56.5,17.3
04019004129,46.3,13.7
04013812500,25.5,8
04019002100,33.7,14.3
04013618900,32,11.1
04019002505,29.4,11.9
04013811100,24.8,8.1
04017940008,49.7,25.2
04013815000,26.3,7.8
