GEOID,chapter
040019442012055,Chinle Chapter
040019427002011,Mexican Water Chapter
040019426001021,Dennehotso Chapter
040019449014007,Kinlichee Chapter
040179400142119,Greasewood Chapter
040059422013099,Tonalea Chapter
040059450001127,Bodaway Chapter
040179400101024,Whippoorwill Chapter
040019449014214,Kinlichee Chapter
040019451001093,Nahatadziil Chapter
040019449013026,Ganado Chapter
040059422021074,Inscription House Chapter
040019443013053,Many Farms Chapter
040059422013014,Tonalea Chapter
040059452003009,Tuba City Chapter
040019441002057,Rock Point Chapter
040019427003091,Sweetwater Chapter
040019441002009,Rock Point Chapter
040019451002059,Nahatadziil Chapter
040059450001045,Bodaway Chapter
040059451002145,Bird Springs Chapter
040019441003111,Tsaile-Wheatfields Chapter
040019449013015,Ganado Chapter
040019427001065,Teec Nos Pos Chapter
040019443021152,Nazlini Chapter
040019449014031,Kinlichee Chapter
040019450023027,Houck Chapter
040019426001032,Dennehotso Chapter
040019450022099,St. Michaels Chapter
040019449014136,Klagetoh Chapter
040019450021039,Oak Springs Chapter
040019449023098,Wide Ruins Chapter
040019442023033,Chinle Chapter
040019441004074,Tsaile-Wheatfields Chapter
040019449024122,Ganado Chapter
040019440001102,Sawmill Chapter
040019443012070,Rough Rock Chapter
040019451002170,Nahatadziil Chapter
040019426001040,Dennehotso Chapter
040059422022101,Kaibeto Chapter
040059451001026,Leupp Chapter
040019450023084,Houck Chapter
040059451004184,Coalmine Mesa Chapter
040059450003096,Bodaway Chapter
040059450002096,Coalmine Mesa Chapter
040019449023075,Klagetoh Chapter
040019440001100,Crystal Chapter
040179424001184,Kayenta Chapter
040059452002003,Tuba City Chapter
040019449021012,Low Mountain Chapter
040019441002134,Round Rock Chapter
040019449014003,Kinlichee Chapter
040179400142085,White Cone Chapter
040179424002064,Chilchinbeto Chapter
040179424002138,Chilchinbeto Chapter
040019426001062,Dennehotso Chapter
040019440003043,St. Michaels Chapter
040019440003039,Fort Defiance Chapter
040019443011013,Many Farms Chapter
040059422011062,LeChee Chapter
